Airline,On-time%,Region
Hawaiian Airlines,92.29,North America
Horizon Air,91.6,North America
Sky Regional,90.63,North America
Copa Airlines,89.19,North America
Compass Airlines,88.54,North America
Alaska Airlines,87.24,North America
Airtran Airlines,87.24,North America
Mesa Airlines,86.57,North America
Taca International Airlines,86.32,North America
US Airways,85.98,North America
Delta Airlines,85.95,North America
Comair,85.12,North America
Virgin America,83.67,North America
American Eagle,83.2,North America
PSA Airlines,83.03,North America
Bearskin Airlines,82.48,North America
SkyWest Airlines,82.4,North America
Pinnacle Airlines,82.02,North America
Hawaii Island Air,82,North America
Central Mountain Air,80.94,North America
Cape Air,80.7,North America
Pacific Coastal Airlines,80.03,North America
Jazz Aviation,79.97,North America
Shuttle America,79.44,North America
Jetblue Airways Corporation,79.36,North America
Republic Airlines,78.75,North America
Trans States Airlines,78.58,North America
Piedmont Airlines,77.93,North America
ExpressJet Airlines,77.8,North America
Southwest Airlines,77.53,North America
Frontier Airlines,77.19,North America
American Airlines,76.93,North America
Spirit Airlines,76.79,North America
Chautauqua Airlines,76.74,North America
United Airlines,76.51,North America
Porter Airlines,76.09,North America
Westjet,75.35,North America
GoJet Airlines,75.28,North America
Colgan Air,74.98,North America
Air Wisconsin Airlines,73.48,North America
Air Georgian Air Alliance,73.35,North America
Silver Airways,73.14,North America
Aerolitoral,71.27,North America
Allegiant Air,69.13,North America
CommutAir,66.99,North America
Great Lakes Aviation,65.36,North America
Perimeter Airlines,64.13,North America
First Air,63.47,North America
Aeromexico,63.21,North America
Air Canada,60.89,North America
Calm Air International,57.3,North America
Executive Jet Management,56.62,North America
Air Inuit,55.34,North America
NAYSA,93.28,Europe
Aegean Airlines,93.02,Europe
Czech Airlines,92.16,Europe
AirBaltic Corporation,91.19,Europe
KLM Cityhopper,90.78,Europe
Brit Air,90.45,Europe
BMI Regional,89.62,Europe
Regional Compagie Aerienne,89.58,Europe
LOT - Polish Airlines,89.35,Europe
Tyrolean Airways,89.14,Europe
Blue1,88.83,Europe
EasyJet,88.65,Europe
Luxair,88.41,Europe
CCM Airlines,88.1,Europe
BMIBaby,88.03,Europe
CityJet,88,Europe
Scandinavian Airlines,87.91,Europe
KLM Royal Dutch Airlines,87.85,Europe
Aer Lingus,87.03,Europe
Wideroe's Flyveselskap,86.79,Europe
Austrian Airlines,86.42,Europe
Finnair,85.9,Europe
Brussels Airlines,85.87,Europe
Eurowings,85.86,Europe
Augsburg Airways,85.7,Europe
Air Dolomiti,85.44,Europe
Lufthansa City Line,85.21,Europe
Norwegian Air Shuttle,85.07,Europe
Flybe,84.94,Europe
Nordavia - Regional Airlines,84.42,Europe
Vueling Airlines,84.19,Europe
Rossiya - Russian Airlines,84.02,Europe
Aer Arann Express,83.99,Europe
Alitalia,83.76,Europe
Lufthansa German Airlines,83.51,Europe
Air Berlin,81.8,Europe
EuroLot,81.61,Europe
Aeroflot Russian Airlines,81.28,Europe
Air France,80.76,Europe
Air Europa Lineas Aereas,80.29,Europe
SWISS International Airlines,80.24,Europe
Croatia Airlines,79.8,Europe
Air Nostrum,79.12,Europe
Niki,78.14,Europe
Jet2.com,77.88,Europe
Portugalia Airlines,77.68,Europe
Transaereo,76.76,Europe
British Midland Airways,76.71,Europe
S7 Airlines,76.16,Europe
British Airways,74.92,Europe
Aerosvit Airlines,74.3,Europe
UTair Aviation,71.48,Europe
Germanwings,71.17,Europe
TAP - Air Portugal,70.78,Europe
Turkish Airlines,70.16,Europe
Iberia,67.84,Europe
Monarch Airlines,66.67,Europe
WindJet,63.29,Europe
J-Air,92.58,Asia
ANA Wings,91.03,Asia
Japan Air Commuter,90.51,Asia
Japan Airlines,90.35,Asia
Hokkaido International Airlines,90.31,Asia
JAL Express,90.27,Asia
ANA - All Nippon Airways,88.48,Asia
Japan Transocean Air,88,Asia
IndiGo Airlines,86.4,Asia
Tiger Airways,86.38,Asia
SpiceJet,83.66,Asia
Korean Airlines,81.78,Asia
Singapore Airlines Limited,80.87,Asia
Malaysia Airlines,80.19,Asia
Asiana Airlines,76.73,Asia
EVA Airways,76.31,Asia
Jet Airways (India),75.53,Asia
Bangkok Airways,75.23,Asia
Thai Airways,74.75,Asia
Cathay Pacific Airways,72.76,Asia
Beijing Capital Airlines,71.05,Asia
GoAir,70.29,Asia
HongKong Dragon Airlines,67.94,Asia
Sichuan Airlines,66.85,Asia
Shanghai Airlines,66.26,Asia
JetKonnect,66.2,Asia
Kingfisher Airlines,65.71,Asia
China Southern Airlines,65.6,Asia
China Airlines,64.47,Asia
China Eastern Airlines,64.14,Asia
Air China,63.67,Asia
Hainan Airlines,62.56,Asia
Juneyao Airlines,61.78,Asia
Shandong Airlines,59.72,Asia
Shenzhen Airlines,59.08,Asia
Tianjin Airlines,58.82,Asia
Xiamen Airlines,52.67,Asia
Pakistan International Airlines,48.6,Asia
Jazeera Airways,93.71,Middle East
Gulf Air Company G.S.C.,87.71,Middle East
Middle East Airlines,83.51,Middle East
Oman Aviation Services,82.07,Middle East
Saudi Arabian Airlines,81.17,Middle East
Qatar Airways (W.L.L.),80.96,Middle East
Air Arabia,79.48,Middle East
Flydubai,76.63,Middle East
Etihad Airways,75.75,Middle East
Egyptair,73.09,Middle East
Royal Jordanian,71.47,Middle East
Emirates,68.99,Middle East
Kuwait Airways,64.64,Middle East
Tunis Air,40.07,Middle East
