Subject	Group	GroupNum	Comp
1	B	1	41
2	B	1	41
3	B	1	43
4	B	1	46
5	B	1	46
6	B	1	45
7	B	1	45
8	B	1	32
9	B	1	33
10	B	1	39
11	B	1	42
12	B	1	45
13	B	1	39
14	B	1	44
15	B	1	36
16	B	1	49
17	B	1	40
18	B	1	35
19	B	1	36
20	B	1	40
21	B	1	54
22	B	1	32
23	D	2	31
24	D	2	40
25	D	2	48
26	D	2	30
27	D	2	42
28	D	2	48
29	D	2	49
30	D	2	53
31	D	2	48
32	D	2	43
33	D	2	55
34	D	2	55
35	D	2	57
36	D	2	53
37	D	2	37
38	D	2	50
39	D	2	54
40	D	2	41
41	D	2	49
42	D	2	47
43	D	2	49
44	D	2	49
45	S	3	53
46	S	3	47
47	S	3	41
48	S	3	49
49	S	3	43
50	S	3	45
51	S	3	50
52	S	3	48
53	S	3	49
54	S	3	42
55	S	3	38
56	S	3	42
57	S	3	34
58	S	3	48
59	S	3	51
60	S	3	33
61	S	3	44
62	S	3	48
63	S	3	49
64	S	3	33
65	S	3	45
66	S	3	42
