Rank	Name	GDPGrowth	GDPPerCap	TradeBal	Population	Unemployment
1	Denmark	1.7	37400	4.7	5.5	3.5
2	Ireland	5.3	45600	-12.6	4.2	5.0
3	Finland	4.4	35500	11.2	5.2	6.9
4	United States	2.2	46000	-747.1	303.8	4.6
5	United Kingdom	2.9	35300	-111.0	60.9	5.4
6	Sweden	3.4	36900	30.2	9.0	4.5
7	Canada	2.7	38200	28.5	33.2	5.9
8	Singapore	7.5	48900	41.4	4.6	1.7
9	Hong Kong	5.8	42000	19.9	7.0	4.2
10	Estonia	7.3	21800	-3.1	1.3	5.2
10	Switzerland	2.6	39800	67.9	7.6	3.1
12	New Zealand	3.0	27300	-10.0	4.2	3.5
13	Australia	4.0	37500	-51.0	20.6	4.4
14	Netherlands	3.5	38600	59.3	16.6	4.1
15	Norway	4.9	55600	55.8	4.6	2.4
16	Israel	5.1	28800	5.9	7.1	7.6
17	Iceland	1.8	39400	-3.4	0.3	1.0
18	Belgium	2.7	36500	11.0	10.4	7.6
19	Chile	5.2	14400	8.2	16.5	7.0
20	Portugal	1.9	21800	-18.5	10.7	8.0
21	Germany	2.6	34400	185.1	82.4	0.1
22	Luxembourg	5.0	80800	11.3	0.5	4.4
23	Austria	3.3	39000	12.6	8.2	4.3
24	Japan	1.9	33800	195.9	127.3	4.0
25	France	1.8	33800	-35.9	64.1	8.0
26	Taiwan	5.5	29800	24.7	22.9	3.9
27	Slovenia	5.8	27300	-1.2	2.0	4.6
28	Italy	1.9	31000	-57.9	58.1	6.7
29	Czech Republic	5.7	24400	-5.7	10.2	6.6
30	Lithuani	8.0	16700	-5.3	3.6	3.2
31	Hungary	2.1	19500	-6.7	9.9	7.1
32	Latvia	10.3	17700	-5.8	2.2	5.9
33	Poland	6.5	16200	-18.1	38.5	12.8
34	Mauritius	5.6	11900	-0.6	1.3	8.8
35	Spain	3.8	33700	-126.3	40.5	7.6
36	Slovakia	8.8	19800	-3.1	5.5	8.6
37	South Korea	4.9	24600	6.0	49.2	3.2
38	Malaysia	5.7	14400	25.9	25.3	3.1
39	South Africa	5.0	10600	-20.1	43.8	24.2
40	Romania	5.9	11100	-22.6	22.2	4.1
41	Turkey	5.1	9400	-36.3	71.9	9.7
42	Croatia	5.6	15500	-3.8	4.5	11.8
43	Mexico	3.0	12500	-5.4	110.0	3.7
44	Bulgaria	6.1	11800	-7.2	7.3	8.0
44	Uruguay	7.2	10700	-0.4	3.5	9.2
46	Trinidad and Tobago	5.5	21700	3.9	1.0	6.0
47	Saudi Arabia	4.7	20700	88.9	28.2	13.0
48	Oman	5.3	19100	3.8	3.3	15.0
49	Jamaica	1.5	4800	-1.6	2.8	10.2
50	Macedonia	5.1	8400	0.0	2.1	34.8
51	Costa Rica	6.1	13500	-1.3	4.2	5.5
52	Peru	7.5	7600	2.0	29.2	7.4
53	Greece	3.7	30500	-36.4	10.7	8.4
53	Panama	7.8	9000	-0.9	3.3	7.2
53	Thailand	4.5	8000	8.6	65.5	1.7
56	Brazil	4.5	9700	10.2	191.9	9.8
57	Namibia	4.5	5200	1.1	2.1	5.3
58	Kuwait	5.6	55300	51.5	2.6	2.2
59	Mongolia	9.9	2900	.	3.0	3.0
60	Tunisia	6.3	7500	-0.9	10.4	13.9
61	Jordan	5.7	4700	-1.7	6.2	13.5
62	Botswana	4.7	14700	2.2	1.8	23.8
63	Armenia	13.7	5700	-0.4	3.0	7.1
64	India	8.5	2700	-18.5	1148.0	7.2
65	Colombia	6.5	7200	-5.1	45.0	10.6
66	Madagascar	6.3	1000	-1.1	20.0	.
67	Sri Lanka	6.0	4100	-1.1	21.1	6.3
68	Georgia	12.0	4200	-1.6	4.6	13.6
69	Kazakhstan	8.7	10400	-4.6	15.3	7.3
70	Paraguay	4.5	4000	-0.1	6.8	11.4
71	Senegal	4.8	1700	-1.1	12.9	48.0
72	El Salvador	4.7	5200	-0.9	7.1	6.6
73	Morocco	2.1	3800	0.4	34.3	15.0
74	United Arab Emirates	8.5	55200	36.1	4.6	2.4
75	Ukraine	6.9	6900	-3.9	46.0	2.5
76	Egypt	7.2	5400	3.1	81.7	10.1
77	Albania	5.0	5500	-0.9	3.6	13.0
78	Tanzania	6.9	1100	-1.4	40.2	.
79	China	11.4	5300	363.3	1330.0	4.0
80	Dominican Republic	7.2	9200	-2.0	9.5	15.5
81	Indonesia	6.1	3400	10.2	237.5	9.7
82	Azerbaijan	31.0	9000	7.5	8.2	8.5
83	Pakistan	6.3	2600	-6.5	167.8	7.5
84	Kyrgyzstan	6.5	2000	-0.7	5.4	18.0
85	Kenya	6.3	1600	-1.0	38.0	40.0
86	Russia	8.1	14600	74.0	140.7	5.9
87	Nigeria	6.3	2200	14.6	138.3	5.8
88	Algeria	4.6	8100	31.5	33.8	14.1
89	Guyana	4.5	5300	-0.2	0.8	9.1
90	Moldova	6.0	2200	-0.6	4.3	2.1
91	Philippines	7.3	3300	6.7	92.7	7.3
92	Argentina	8.5	13000	7.4	40.7	8.9
93	Uganda	6.0	1100	-0.2	31.4	.
94	Mozambique	7.5	900	-0.7	21.3	21.0
95	Guatemala	5.6	5400	-1.8	13.0	3.2
96	Nepal	2.5	1100	.	29.5	42.0
97	Mali	4.3	1200	.	12.3	30.0
98	Zambia	6.0	1400	-0.9	11.7	50.0
99	Honduras	6.0	3300	-0.4	7.6	27.8
100	Burkina Faso	4.2	1200	-0.8	15.3	77.0
101	Bosnia and Herzegovina	5.5	6600	-2.0	4.6	45.5
102	Benin	4.5	1500	-0.3	8.3	.
103	Bolivia	4.0	4400	1.3	9.2	8.0
103	Ecuador	2.6	7100	-0.6	13.9	9.8
105	Nicaragua	2.9	3200	-0.8	5.8	5.6
106	Uzbekistan	8.1	2200	3.0	28.3	0.8
107	Lesotho	4.8	1500	0.0	2.1	45.0
108	Suriname	5.1	7800	.	0.5	9.5
109	Cambodia	9.1	1800	-0.4	14.2	2.5
110	Banglade	6.0	1400	0.7	153.5	2.5
111	Gambia	7.0	800	0.0	1.7	.
112	Mauritania	1.5	1800	.	3.4	20.0
113	Vietnam	8.5	2600	-1.2	86.1	5.1
114	Ethiopia	9.8	700	-1.9	78.3	.
