Property	Sales Price	Assessed Value
1	167.9	152.7
2	168.0	163.8
3	155.0	167.6
4	158.5	127.3
5	159.9	155.7
6	162.0	169.0
7	165.0	187.1
8	174.5	153.6
9	175.0	167.1
10	159.0	148.9
11	230.0	225.4
12	230.0	170.4
13	222.5	200.4
14	225.5	209.6
15	220.0	205.2
16	216.0	220.9
17	215.0	194.9
18	228.0	231.4
19	209.0	224.2
20	267.0	235.1
21	283.0	303.9
22	269.0	233.7
23	255.0	233.6
24	285.0	234.2
25	146.0	145.1
26	128.0	108.3
27	126.5	136.2
28	129.9	113.3
29	150.0	121.4
30	195.0	184.0
