obs	lessons	score	groupnum
1	Piano	2	1
2	Piano	5	1
3	Piano	7	1
4	Piano	-2	1
5	Piano	2	1
6	Piano	7	1
7	Piano	4	1
8	Piano	1	1
9	Piano	0	1
10	Piano	7	1
11	Piano	3	1
12	Piano	4	1
13	Piano	3	1
14	Piano	4	1
15	Piano	9	1
16	Piano	4	1
17	Piano	5	1
18	Piano	2	1
19	Piano	9	1
20	Piano	6	1
21	Piano	0	1
22	Piano	3	1
23	Piano	6	1
24	Piano	-1	1
25	Piano	3	1
26	Piano	4	1
27	Piano	6	1
28	Piano	7	1
29	Piano	-2	1
30	Piano	7	1
31	Piano	-3	1
32	Piano	3	1
33	Piano	4	1
34	Piano	4	1
35	Singing	1	2
36	Singing	-1	2
37	Singing	0	2
38	Singing	1	2
39	Singing	-4	2
40	Singing	0	2
41	Singing	0	2
42	Singing	1	2
43	Singing	0	2
44	Singing	-1	2
45	Computer	0	3
46	Computer	1	3
47	Computer	1	3
48	Computer	-3	3
49	Computer	-2	3
50	Computer	4	3
51	Computer	-1	3
52	Computer	2	3
53	Computer	4	3
54	Computer	2	3
55	Computer	2	3
56	Computer	2	3
57	Computer	-3	3
58	Computer	-3	3
59	Computer	0	3
60	Computer	2	3
61	Computer	0	3
62	Computer	-1	3
63	Computer	3	3
64	Computer	-1	3
65	None	5	4
66	None	-1	4
67	None	7	4
68	None	0	4
69	None	4	4
70	None	0	4
71	None	2	4
72	None	1	4
73	None	-6	4
74	None	0	4
75	None	2	4
76	None	-1	4
77	None	0	4
78	None	-2	4
