Participant	Gender	Rating	GroupNum
1	F	1	1
2	F	1	1
3	F	1	1
4	F	1	1
5	F	1	1
6	F	2	1
7	F	2	1
8	F	2	1
9	F	2	1
10	F	2	1
11	F	2	1
12	F	2	1
13	F	2	1
14	F	2	1
15	F	2	1
16	F	2	1
17	F	2	1
18	F	2	1
19	F	2	1
20	F	2	1
21	F	2	1
22	F	2	1
23	F	2	1
24	F	2	1
25	F	2	1
26	F	2	1
27	F	2	1
28	F	2	1
29	F	2	1
30	F	2	1
31	F	2	1
32	F	2	1
33	F	2	1
34	F	2	1
35	F	2	1
36	F	2	1
37	F	2	1
38	F	2	1
39	F	2	1
40	F	2	1
41	F	2	1
42	F	2	1
43	F	2	1
44	F	2	1
45	F	2	1
46	F	2	1
47	F	2	1
48	F	2	1
49	F	2	1
50	F	3	1
51	F	3	1
52	F	3	1
53	F	3	1
54	F	3	1
55	F	3	1
56	F	3	1
57	F	3	1
58	F	3	1
59	F	3	1
60	F	3	1
61	F	3	1
62	F	3	1
63	F	3	1
64	F	3	1
65	F	3	1
66	F	3	1
67	F	3	1
68	F	3	1
69	F	3	1
70	F	3	1
71	F	3	1
72	F	3	1
73	F	3	1
74	F	3	1
75	F	3	1
76	F	3	1
77	F	3	1
78	F	3	1
79	F	3	1
80	F	3	1
81	F	3	1
82	F	3	1
83	F	3	1
84	F	3	1
85	F	3	1
86	F	3	1
87	F	3	1
88	F	3	1
89	F	3	1
90	F	3	1
91	F	3	1
92	F	3	1
93	F	3	1
94	F	3	1
95	F	3	1
96	F	3	1
97	F	3	1
98	F	4	1
99	F	4	1
100	F	4	1
101	F	4	1
102	F	4	1
103	F	4	1
104	F	4	1
105	F	4	1
106	F	4	1
107	F	4	1
108	F	4	1
109	F	4	1
110	F	4	1
111	F	4	1
112	F	4	1
113	F	4	1
114	F	4	1
115	F	4	1
116	F	4	1
117	F	4	1
118	F	4	1
119	F	4	1
120	F	4	1
121	F	4	1
122	F	4	1
123	F	4	1
124	F	4	1
125	F	4	1
126	F	4	1
127	F	4	1
128	F	4	1
129	F	4	1
130	F	4	1
131	F	4	1
132	F	4	1
133	F	4	1
134	F	4	1
135	F	4	1
136	F	4	1
137	F	4	1
138	F	4	1
139	F	4	1
140	F	4	1
141	F	4	1
142	F	4	1
143	F	4	1
144	F	4	1
145	F	4	1
146	F	4	1
147	F	4	1
148	F	4	1
149	F	4	1
150	F	4	1
151	F	4	1
152	F	4	1
153	F	4	1
154	F	4	1
155	F	4	1
156	F	4	1
157	F	4	1
158	F	4	1
159	F	4	1
160	F	4	1
161	F	4	1
162	F	4	1
163	F	4	1
164	F	4	1
165	F	4	1
166	F	4	1
167	F	4	1
168	F	4	1
169	F	4	1
170	F	4	1
171	F	4	1
172	F	4	1
173	F	4	1
174	F	4	1
175	F	4	1
176	F	4	1
177	F	4	1
178	F	4	1
179	F	4	1
180	F	4	1
181	F	4	1
182	F	4	1
183	F	4	1
184	F	4	1
185	F	4	1
186	F	4	1
187	F	4	1
188	F	4	1
189	F	4	1
190	F	4	1
191	F	4	1
192	F	4	1
193	F	4	1
194	F	4	1
195	F	4	1
196	F	4	1
197	F	4	1
198	F	4	1
199	F	4	1
200	F	4	1
201	F	4	1
202	F	4	1
203	F	4	1
204	F	4	1
205	F	4	1
206	F	4	1
207	F	4	1
208	F	4	1
209	F	4	1
210	F	4	1
211	F	4	1
212	F	4	1
213	F	4	1
214	F	4	1
215	F	4	1
216	F	4	1
217	F	4	1
218	F	4	1
219	F	4	1
220	F	4	1
221	F	4	1
222	F	4	1
223	F	4	1
224	F	4	1
225	F	4	1
226	F	4	1
227	F	4	1
228	F	4	1
229	F	4	1
230	F	4	1
231	F	4	1
232	F	4	1
233	F	4	1
234	F	4	1
235	F	4	1
236	F	4	1
237	F	4	1
238	F	4	1
239	F	4	1
240	F	4	1
241	F	4	1
242	F	4	1
243	F	4	1
244	F	4	1
245	F	4	1
246	F	4	1
247	F	4	1
248	F	4	1
249	F	4	1
250	F	4	1
251	F	4	1
252	F	4	1
253	F	4	1
254	F	4	1
255	F	4	1
256	F	4	1
257	F	4	1
258	F	4	1
259	F	4	1
260	F	4	1
261	F	4	1
262	F	4	1
263	F	4	1
264	F	4	1
265	F	4	1
266	F	4	1
267	F	4	1
268	F	4	1
269	F	4	1
270	F	4	1
271	F	4	1
272	F	4	1
273	F	4	1
274	F	4	1
275	F	4	1
276	F	4	1
277	F	4	1
278	F	4	1
279	F	4	1
280	F	4	1
281	F	5	1
282	F	5	1
283	F	5	1
284	F	5	1
285	F	5	1
286	F	5	1
287	F	5	1
288	F	5	1
289	F	5	1
290	F	5	1
291	F	5	1
292	F	5	1
293	F	5	1
294	F	5	1
295	F	5	1
296	F	5	1
297	F	5	1
298	F	5	1
299	F	5	1
300	F	5	1
301	F	5	1
302	F	5	1
303	F	5	1
304	F	5	1
305	F	5	1
306	F	5	1
307	F	5	1
308	F	5	1
309	F	5	1
310	F	5	1
311	F	5	1
312	F	5	1
313	F	5	1
314	F	5	1
315	F	5	1
316	F	5	1
317	F	5	1
318	F	5	1
319	F	5	1
320	F	5	1
321	F	5	1
322	F	5	1
323	F	5	1
324	F	5	1
325	F	5	1
326	F	5	1
327	F	5	1
328	F	5	1
329	F	5	1
330	F	5	1
331	F	5	1
332	F	5	1
333	F	5	1
334	F	5	1
335	F	5	1
336	F	5	1
337	F	5	1
338	F	5	1
339	F	5	1
340	F	5	1
341	F	5	1
342	F	5	1
343	F	5	1
344	F	5	1
345	F	5	1
346	F	5	1
347	F	5	1
348	F	5	1
349	F	5	1
350	F	5	1
351	F	5	1
352	F	5	1
353	F	5	1
354	F	5	1
355	F	5	1
356	F	5	1
357	F	5	1
358	F	5	1
359	F	5	1
360	F	5	1
361	F	5	1
362	F	5	1
363	F	5	1
364	F	5	1
365	F	5	1
366	F	5	1
367	F	5	1
368	F	5	1
369	F	5	1
370	F	5	1
371	F	5	1
372	F	5	1
373	F	5	1
374	F	5	1
375	F	5	1
376	F	5	1
377	F	5	1
378	F	5	1
379	F	5	1
380	F	5	1
381	F	5	1
382	F	5	1
383	F	5	1
384	F	5	1
385	F	5	1
386	F	5	1
387	F	5	1
388	F	5	1
389	F	5	1
390	F	5	1
391	F	5	1
392	F	5	1
393	F	5	1
394	F	5	1
395	F	5	1
396	F	5	1
397	F	5	1
398	F	5	1
