Rank	Name	GDPGrowth	GDPPerCap	TradeBal	Population	Unemployment	LGDPGrowth	LGDPPerCap	LPopulation	LUnemployment	pop	rnk
101	Bosnia and Herzegovina	5.5	6600	-2	4.6	45.5	1.704748092	8.794824928	1.526056303	3.817712326	S	Low
77	Albania	5	5500	-0.9	3.6	13	1.609437912	8.612503371	1.280933845	2.564949357	S	Low
88	Algeria	4.6	8100	31.5	33.8	14.1	1.526056303	8.999619341	3.520460802	2.646174797	L	Low
92	Argentina	8.5	13000	7.4	40.7	8.9	2.140066163	9.472704636	3.706228092	2.186051277	L	Low
63	Armenia	13.7	5700	-0.4	3	7.1	2.617395833	8.648221454	1.098612289	1.960094784	S	Low
13	Australia	4	37500	-51	20.6	4.4	1.386294361	10.53209621	3.025291076	1.481604541	S	High
23	Austria	3.3	39000	12.6	8.2	4.3	1.193922468	10.57131693	2.104134154	1.458615023	S	High
110	Bangladesh	6	1400	0.7	153.5	2.5	1.791759469	7.244227516	5.033700567	0.916290732	L	Low
18	Belgium	2.7	36500	11	10.4	7.6	0.993251773	10.50506754	2.341805806	2.028148247	S	High
103	Bolivia	4	4400	1.3	9.2	8	1.386294361	8.38935982	2.219203484	2.079441542	S	Low
62	Botswana	4.7	14700	2.2	1.8	23.8	1.547562509	9.595602773	0.587786665	3.169685581	S	Low
56	Brazil	4.5	9700	10.2	191.9	9.8	1.504077397	9.179881164	5.256974403	2.282382386	L	High
44	Bulgaria	6.1	11800	-7.2	7.3	8	1.808288771	9.37585481	1.987874348	2.079441542	S	High
100	Burkina Faso	4.2	1200	-0.8	15.3	77	1.435084525	7.090076836	2.727852828	4.343805422	S	Low
109	Cambodia	9.1	1800	-0.4	14.2	2.5	2.208274414	7.495541944	2.653241965	0.916290732	S	Low
116	Cameroon	3.2	2300	-0.5	18.5	30	1.16315081	7.740664402	2.917770732	3.401197382	S	Low
7	Canada	2.7	38200	28.5	33.2	5.9	0.993251773	10.55059079	3.502549876	1.774952351	L	High
19	Chile	5.2	14400	8.2	16.5	7	1.648658626	9.574983486	2.803360381	1.945910149	S	High
65	Colombia	6.5	7200	-5.1	45	10.6	1.871802177	8.881836305	3.80666249	2.360854001	L	Low
51	Costa Rica	6.1	13500	-1.3	4.2	5.5	1.808288771	9.510444964	1.435084525	1.704748092	S	High
42	Croatia	5.6	15500	-3.8	4.5	11.8	1.722766598	9.648595303	1.504077397	2.468099531	S	High
29	Czech Republic	5.7	24400	-5.7	10.2	6.6	1.740466175	10.10233841	2.32238772	1.887069649	S	High
1	Denmark	1.7	37400	4.7	5.5	3.5	0.530628251	10.52942598	1.704748092	1.252762968	S	High
79	Dominican Republic	7.2	9200	-2	9.5	15.5	1.974081026	9.126958763	2.251291799	2.740840024	S	Low
103	Ecuador	2.6	7100	-0.6	13.9	9.8	0.955511445	8.867850063	2.63188884	2.282382386	S	Low
76	Egypt	7.2	5400	3.1	81.7	10.1	1.974081026	8.594154233	4.403054002	2.312535424	L	Low
72	El Salvador	4.7	5200	-0.9	7.1	6.6	1.547562509	8.556413905	1.960094784	1.887069649	S	Low
10	Estonia	7.3	21800	-3.1	1.3	5.2	1.987874348	9.989665249	0.262364264	1.648658626	S	High
