ns	dbh	groupnum
n	27.8	1
n	14.5	1
n	39.1	1
n	3.2	1
n	58.8	1
n	55.5	1
n	25	1
n	5.4	1
n	19	1
n	30.6	1
n	15.1	1
n	3.6	1
n	28.4	1
n	15	1
n	2.2	1
n	14.2	1
n	44.2	1
n	25.7	1
n	11.2	1
n	46.8	1
n	36.9	1
n	54.1	1
n	10.2	1
n	2.5	1
n	13.8	1
n	43.5	1
n	13.8	1
n	39.7	1
n	6.4	1
n	4.8	1
s	44.4	2
s	26.1	2
s	50.4	2
s	23.3	2
s	39.5	2
s	51	2
s	48.1	2
s	47.2	2
s	40.3	2
s	37.4	2
s	36.8	2
s	21.7	2
s	35.7	2
s	32	2
s	40.4	2
s	12.8	2
s	5.6	2
s	44.3	2
s	52.9	2
s	38	2
s	2.6	2
s	44.6	2
s	45.5	2
s	29.1	2
s	18.7	2
s	7	2
s	43.8	2
s	28.3	2
s	36.9	2
s	51.6	2
