Time	Group	GroupNum
17.5	ILEC	1
2.4	ILEC	1
0	ILEC	1
0.65	ILEC	1
22.23	ILEC	1
1.2	ILEC	1
2.08	ILEC	1
4.97	ILEC	1
0	ILEC	1
27.65	ILEC	1
15.67	ILEC	1
0	ILEC	1
0.4	ILEC	1
17.85	ILEC	1
22.18	ILEC	1
17.33	ILEC	1
0	ILEC	1
0	ILEC	1
69.93	ILEC	1
0	ILEC	1
0	ILEC	1
31.22	ILEC	1
77.17	ILEC	1
0	ILEC	1
4.08	ILEC	1
17.48	ILEC	1
24.2	ILEC	1
19.33	ILEC	1
3.52	ILEC	1
0	ILEC	1
22.5	ILEC	1
17.25	ILEC	1
0.42	ILEC	1
3.65	ILEC	1
2.07	ILEC	1
0	ILEC	1
0	ILEC	1
0	ILEC	1
0	ILEC	1
0	ILEC	1
191.6	ILEC	1
23.02	ILEC	1
19.88	ILEC	1
0	ILEC	1
0	ILEC	1
52.1	ILEC	1
23.4	ILEC	1
0	ILEC	1
43.03	ILEC	1
46.95	ILEC	1
0	ILEC	1
45.57	ILEC	1
22.15	ILEC	1
0.07	ILEC	1
0.07	ILEC	1
1.22	ILEC	1
91.02	ILEC	1
0.07	ILEC	1
74.05	ILEC	1
3.55	ILEC	1
4.32	ILEC	1
0.28	ILEC	1
3.05	ILEC	1
4.85	ILEC	1
0	ILEC	1
4.17	ILEC	1
40.25	ILEC	1
1.18	ILEC	1
54.28	ILEC	1
1.2	ILEC	1
0	ILEC	1
1.55	ILEC	1
3.22	ILEC	1
3.9	ILEC	1
5.7	ILEC	1
73.53	ILEC	1
28.87	ILEC	1
0	ILEC	1
0	ILEC	1
0	ILEC	1
0	ILEC	1
19.48	ILEC	1
18.52	ILEC	1
19.8	ILEC	1
23.6	ILEC	1
22.37	ILEC	1
22.45	ILEC	1
21.2	ILEC	1
0	ILEC	1
0	ILEC	1
19.45	ILEC	1
91.1	ILEC	1
21.27	ILEC	1
2.48	ILEC	1
3.82	ILEC	1
23.83	ILEC	1
22.7	ILEC	1
21.03	ILEC	1
23.3	ILEC	1
16.58	ILEC	1
6.03	ILEC	1
27.6	ILEC	1
29.12	ILEC	1
5.08	ILEC	1
0	ILEC	1
18.17	ILEC	1
0	ILEC	1
19.82	ILEC	1
0	ILEC	1
27.28	ILEC	1
21.38	ILEC	1
29.25	ILEC	1
48.23	ILEC	1
20.77	ILEC	1
22.3	ILEC	1
1.82	ILEC	1
1.98	ILEC	1
19.27	ILEC	1
27.15	ILEC	1
0.03	ILEC	1
16.63	ILEC	1
3.8	ILEC	1
3.77	ILEC	1
7.12	ILEC	1
0	ILEC	1
16.33	ILEC	1
20.5	ILEC	1
18.57	ILEC	1
24.7	ILEC	1
0	ILEC	1
22.28	ILEC	1
3.07	ILEC	1
0	ILEC	1
0	ILEC	1
0	ILEC	1
0	ILEC	1
0	ILEC	1
20.38	ILEC	1
0	ILEC	1
2.1	ILEC	1
1.22	ILEC	1
3.87	ILEC	1
0	ILEC	1
1.57	ILEC	1
0.43	ILEC	1
0	ILEC	1
16.8	ILEC	1
17.62	ILEC	1
0	ILEC	1
36.03	ILEC	1
0	ILEC	1
6.05	ILEC	1
1.82	ILEC	1
0	ILEC	1
0	ILEC	1
23.02	ILEC	1
0	ILEC	1
2.37	ILEC	1
20.35	ILEC	1
26.95	ILEC	1
0	ILEC	1
0	ILEC	1
6.07	ILEC	1
14.87	ILEC	1
4.5	ILEC	1
0.1	ILEC	1
0.4	ILEC	1
0.03	ILEC	1
1.7	ILEC	1
16.87	ILEC	1
1.43	ILEC	1
0.15	ILEC	1
0.05	ILEC	1
25.57	ILEC	1
0	ILEC	1
0	ILEC	1
5.58	ILEC	1
15.48	ILEC	1
0	ILEC	1
7.53	ILEC	1
0.38	ILEC	1
0	ILEC	1
0	ILEC	1
2.2	ILEC	1
0	ILEC	1
1.9	ILEC	1
0	ILEC	1
0	ILEC	1
