worker	wages	los	size	size1
1	48.3355	94	Large	1
2	49.0279	48	Small	0
3	40.8817	102	Small	0
4	36.5854	20	Small	0
5	46.7596	60	Large	1
6	59.5238	78	Small	0
7	39.1304	45	Large	1
8	39.2465	39	Large	1
9	40.2037	20	Large	1
10	38.1563	65	Small	0
11	50.0905	76	Large	1
12	46.9043	48	Small	0
13	43.1894	61	Small	0
14	60.5637	30	Large	1
15	97.6801	70	Large	1
16	48.5795	108	Large	1
17	67.1551	61	Large	1
18	38.7847	10	Small	0
19	51.8926	68	Large	1
20	51.8326	54	Large	1
21	64.1026	24	Large	1
22	54.9451	222	Small	0
23	43.8095	58	Large	1
24	43.3455	41	Small	0
25	61.9893	153	Large	1
26	40.0183	16	Small	0
27	50.7143	43	Small	0
28	48.8400	96	Large	1
29	34.3407	98	Large	1
30	80.5861	150	Large	1
31	33.7163	124	Small	0
32	60.3792	60	Large	1
33	48.8400	7	Large	1
34	38.5579	22	Small	0
35	39.2760	57	Large	1
36	47.6564	78	Large	1
37	44.6864	36	Large	1
38	45.7875	83	Small	0
39	65.6288	66	Large	1
40	33.5775	47	Small	0
41	41.2088	97	Small	0
42	67.9096	228	Small	0
43	43.0942	27	Large	1
44	40.7000	48	Small	0
45	40.5748	7	Large	1
46	39.6825	74	Small	0
47	50.1742	204	Large	1
48	54.9451	24	Large	1
49	32.3822	13	Small	0
50	51.7130	30	Large	1
51	55.8379	95	Large	1
52	54.9451	104	Large	1
53	70.2786	34	Large	1
54	57.2344	184	Small	0
55	54.1126	156	Small	0
56	39.8687	25	Large	1
57	27.4725	43	Small	0
58	67.9584	36	Large	1
59	44.9317	60	Small	0
60	51.5612	102	Large	1
