ew	dbh	groupnum
e	23.5	1
e	43.5	1
e	6.6	1
e	11.5	1
e	17.2	1
e	38.7	1
e	2.3	1
e	31.5	1
e	10.5	1
e	23.7	1
e	13.8	1
e	5.2	1
e	31.5	1
e	22.1	1
e	6.7	1
e	2.6	1
e	6.3	1
e	51.1	1
e	5.4	1
e	9	1
e	43	1
e	8.7	1
e	22.8	1
e	2.9	1
e	22.3	1
e	43.8	1
e	48.1	1
e	46.5	1
e	39.8	1
e	10.9	1
w	17.2	2
w	44.6	2
w	44.1	2
w	35.5	2
w	51	2
w	21.6	2
w	44.1	2
w	11.2	2
w	36	2
w	42.1	2
w	3.2	2
w	25.5	2
w	36.5	2
w	39	2
w	25.9	2
w	20.8	2
w	3.2	2
w	57.7	2
w	43.3	2
w	58	2
w	21.7	2
w	35.6	2
w	30.9	2
w	40.6	2
w	30.7	2
w	35.6	2
w	18.2	2
w	2.9	2
w	20.4	2
w	11.4	2
