Group	GroupNum	Subj 	Score
Blue	1	1	1.3
Blue	1	2	1.0
Blue	1	3	7.0
Blue	1	4	4.2
Blue	1	5	5.4
Blue	1	6	1.0
Blue	1	7	1.6
Blue	1	8	2.0
Blue	1	9	2.1
Blue	1	10	3.5
Blue	1	11	1.5
Blue	1	12	2.4
Blue	1	13	6.0
Blue	1	14	4.2
Blue	1	15	2.6
Blue	1	16	1.1
Blue	1	17	1.1
Blue	1	18	3.9
Blue	1	19	2.2
Blue	1	20	5.4
Blue	1	21	4.3
Blue	1	22	2.1
Blue	1	23	4.8
Blue	1	24	4.4
Blue	1	25	3.1
Blue	1	26	2.7
Blue	1	27	1.0
Blue	1	28	1.2
Blue	1	29	7.0
Blue	1	30	3.9
Blue	1	31	1.4
Blue	1	32	3.7
Blue	1	33	4.5
Blue	1	34	1.8
Blue	1	35	4.5
Blue	1	36	1.3
Blue	1	37	1.0
Blue	1	38	3.3
Blue	1	39	2.5
Blue	1	40	3.7
Blue	1	41	4.4
Blue	1	42	3.5
Blue	1	43	1.0
Blue	1	44	2.7
Blue	1	45	1.4
Blue	1	46	1.3
Blue	1	47	5.6
Blue	1	48	6.7
Blue	1	49	2.8
Blue	1	50	1.7
Blue	1	51	2.9
Blue	1	52	2.3
Blue	1	53	4.3
Blue	1	54	3.4
Blue	1	55	1.2
Blue	1	56	3.3
Blue	1	57	1.9
Blue	1	58	4.7
Blue	1	59	5.8
Blue	1	60	1.0
Blue	1	61	5.1
Blue	1	62	6.4
Blue	1	63	2.5
Blue	1	64	1.6
Blue	1	65	3.7
Blue	1	66	7.0
Blue	1	67	4.1
Brown	2	1	2.9
Brown	2	2	5.7
Brown	2	3	3.2
Brown	2	4	5.5
Brown	2	5	1.4
Brown	2	6	5.3
Brown	2	7	4.7
Brown	2	8	2.3
Brown	2	9	1.0
Brown	2	10	5.2
Brown	2	11	4.2
Brown	2	12	6.4
Brown	2	13	4.5
Brown	2	14	3.6
Brown	2	15	6.1
Brown	2	16	3.9
Brown	2	17	6.6
Brown	2	18	4.0
Brown	2	19	7.0
Brown	2	20	5.9
Brown	2	21	2.5
Brown	2	22	1.6
Brown	2	23	4.8
Brown	2	24	2.7
Brown	2	25	2.1
Brown	2	26	2.2
Brown	2	27	1.1
Brown	2	28	1.7
Brown	2	29	2.8
Brown	2	30	4.8
Brown	2	31	1.8
Brown	2	32	1.0
Brown	2	33	3.4
Brown	2	34	5.1
Brown	2	35	3.0
Brown	2	36	3.7
Brown	2	37	4.1
Down	3	1	4.8
Down	3	2	1.4
Down	3	3	1.0
Down	3	4	4.2
Down	3	5	4.2
Down	3	6	1.3
Down	3	7	1.1
Down	3	8	5.0
Down	3	9	4.8
Down	3	10	2.1
Down	3	11	3.4
Down	3	12	1.5
Down	3	13	2.2
Down	3	14	1.8
Down	3	15	1.7
Down	3	16	1.9
Down	3	17	3.0
Down	3	18	2.7
Down	3	19	2.4
Down	3	20	1.4
Down	3	21	3.7
Down	3	22	3.2
Down	3	23	1.2
Down	3	24	5.5
Down	3	25	2.8
Down	3	26	3.6
Down	3	27	2.8
Down	3	28	5.9
Down	3	29	2.6
Down	3	30	6.2
Down	3	31	1.6
Down	3	32	4.4
Down	3	33	3.6
Down	3	34	2.2
Down	3	35	3.4
Down	3	36	3.9
Down	3	37	1.3
Down	3	38	4.5
Down	3	39	2.4
Down	3	40	6.8
Down	3	41	3.9
Green	4	1	4.6
Green	4	2	1.9
Green	4	3	2.7
Green	4	4	2.6
Green	4	5	4.4
Green	4	6	2.2
Green	4	7	3.4
Green	4	8	4.2
Green	4	9	3.5
Green	4	10	5.2
Green	4	11	5.1
Green	4	12	1.0
Green	4	13	7.0
Green	4	14	4.9
Green	4	15	1.8
Green	4	16	2.2
Green	4	17	5.9
Green	4	18	7.0
Green	4	19	6.3
Green	4	20	4.2
Green	4	21	2.4
Green	4	22	4.5
Green	4	23	1.6
Green	4	24	3.5
Green	4	25	4.7
Green	4	26	6.9
Green	4	27	2.4
Green	4	28	4.1
Green	4	29	3.3
Green	4	30	2.7
Green	4	31	3.3
Green	4	32	3.1
Green	4	33	2.9
Green	4	34	4.3
Green	4	35	2.9
Green	4	36	3.9
Green	4	37	1.0
Green	4	38	5.3
Green	4	39	1.9
Green	4	40	3.2
Green	4	41	3.5
Green	4	42	3.6
Green	4	43	4.5
Green	4	44	4.2
Green	4	45	6.0
Green	4	46	5.2
Green	4	47	3.0
Green	4	48	6.3
Green	4	49	1.3
Green	4	50	5.1
Green	4	51	4.5
Green	4	52	6.4
Green	4	53	1.0
Green	4	54	5.7
Green	4	55	4.9
Green	4	56	3.5
Green	4	57	5.5
Green	4	58	3.9
Green	4	59	5.0
Green	4	60	6.1
Green	4	61	6.6
Green	4	62	1.4
Green	4	63	5.1
Green	4	64	3.5
Green	4	65	1.8
Green	4	66	6.4
Green	4	67	1.2
Green	4	68	1.0
Green	4	69	3.5
Green	4	70	4.3
Green	4	71	3.6
Green	4	72	1.1
Green	4	73	6.8
Green	4	74	3.8
Green	4	75	3.2
Green	4	76	4.4
Green	4	77	2.3
