Company	RepairTime	GroupNum
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	2	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	2	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	2	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	3	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	3	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	3	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	3	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	3	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	3	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	4	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	5	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	5	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	6	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	8	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	15	1
ILEC	1	1
ILEC	1	1
ILEC	1	1
ILEC	2	1
ILEC	2	1
CLEC	1	2
CLEC	1	2
CLEC	5	2
CLEC	5	2
CLEC	5	2
CLEC	1	2
CLEC	5	2
CLEC	5	2
CLEC	5	2
CLEC	5	2
