Team	Value	Revenue	Debt	Income
New York Knicks	613	0	208	29.6
Los Angeles Lakers	584	22	191	47.9
Chicago Bulls	504	11	165	55.4
Detroit Pistons	480	0	160	40.4
Cleveland Cavaliers	477	42	159	13.1
Houston Rockets	469	15	156	31.2
Dallas Mavericks	466	26	153	-13.6
Phoenix Suns	452	39	148	28.9
Boston Celtics	447	40	149	20.1
San Antonio Spurs	415	13	138	19.0
Toronto Raptors	400	40	138	27.7
Miami Heat	393	43	131	-1.1
Philadelphia 76ers	360	18	116	0.3
Utah Jazz	358	3	119	8.8
Washington Wizards	353	47	118	14.9
Sacramento Kings	350	24	117	7.0
Orlando Magic	349	29	100	6.2
Golden State Warriors	335	22	112	14.2
Denver Nuggets	329	14	112	-26.3
Portland Trail Blazers	307	34	114	-0.9
Atlanta Hawks	306	23	102	6.7
Indiana Pacers	303	16	101	-6.5
Minnesota Timberwolves	301	17	100	-5.7
Oklahoma City Thunder	300	47	82	-9.4
Los Angeles Clippers	297	0	99	10.7
New Jersey Nets	295	71	98	-0.9
Memphis Grizzlies	294	51	95	-3.2
New Orleans Hornets	285	35	95	3.2
Charlotte Bobcats	284	53	95	-4.9
Milwaukee Bucks	278	20	94	5.4
