Animal,Gestation,Longevity
Baboon,187,12
"Bear, Griz",225,25
Beaver,105,5
Bison,285,15
Camel,406,12
"Cat, domestic",63,12
Chimp,230,20
Cow,284,15
Deer,201,8
"Dog, domestic",61,12
"Elephant, African",660,35
"Elephant,Asian",645,40
Elk,250,16
"Fox, red",52,7
Giraffe,457,10
Goat,151,8
Gorilla,258,20
Hippo,238,41
Horse,330,20
Leopard,98,12
Lion,100,15
"Monkey, rhesus",166,15
Moose,240,12
"Pig, domestic",112,10
Puma,90,12
"Rhino,black",450,15
"Sea Lion, Cal",350,12
Sheep,154,12
"Squirrel, gray",44,10
Tiger,105,16
"Wolf, maned",63,5
"Zebra, Grant's",365,15
