Africa Estimate,Starting point,10%Starting,65%Starting
8,10%,8,35
1,10%,1,60
20,10%,20,42
5,10%,5,76
12,10%,12,15
5,10%,5,72
20,10%,20,70
12,10%,12,0
1,10%,1,70
8,10%,8,60
5,10%,5,68
25,10%,25,50
25,10%,25,50
15,10%,15,10
8,10%,8,39
15,10%,15,70
9,10%,9,40
15,10%,15,5
1,10%,1,40
33,10%,33,76
14,10%,14,22
5,10%,5,6
70,10%,70,30
6,10%,6,24
6,10%,6,30
60,10%,60,10
5,10%,5,50
13,10%,13,55
35,10%,35,40
5,10%,5,70
14,10%,14,35
20,10%,20,55
13,10%,13,38
15,10%,15,75
4,10%,4,15
15,10%,15,4
10,10%,10,60
7,10%,7,40
14,10%,14,20
6,10%,6,45
5,10%,5,25
15,10%,15,15
8,10%,8,55
20,10%,20,40
25,10%,25,75
3.4,10%,3.4,30
6,10%,6,40
17,10%,17,18
25,10%,25,30
8,10%,8,35
15,10%,15,35
11,10%,11,30
50,10%,50,50
37,10%,37,45
7,10%,7,48
0,10%,0,25
30,10%,30,25
35,65%,,27
60,65%,,60
42,65%,,14
76,65%,,10
15,65%,,55
72,65%,,66
70,65%,,40
0,65%,,50
70,65%,,2
60,65%,,30
68,65%,,
50,65%,,
50,65%,,
10,65%,,
39,65%,,
70,65%,,
40,65%,,
5,65%,,
40,65%,,
76,65%,,
22,65%,,
6,65%,,
30,65%,,
24,65%,,
30,65%,,
10,65%,,
50,65%,,
55,65%,,
40,65%,,
70,65%,,
35,65%,,
55,65%,,
38,65%,,
75,65%,,
15,65%,,
4,65%,,
60,65%,,
40,65%,,
20,65%,,
45,65%,,
25,65%,,
15,65%,,
55,65%,,
40,65%,,
75,65%,,
30,65%,,
40,65%,,
18,65%,,
30,65%,,
35,65%,,
35,65%,,
30,65%,,
50,65%,,
45,65%,,
48,65%,,
25,65%,,
25,65%,,
27,65%,,
60,65%,,
14,65%,,
10,65%,,
55,65%,,
66,65%,,
40,65%,,
50,65%,,
2,65%,,
30,65%,,
