Price.in.100K,Area,WS.in.100K,EV.in.100K
17,WS,17,12
33,WS,33,15
18,WS,18,15
24,WS,24,16
25,WS,25,22
26,WS,26,8
28,WS,28,13
33,WS,33,7
19,WS,19,10
35,WS,35,11
69,WS,69,16
19,WS,19,12
29,WS,29,11
23,WS,23,8
17,WS,17,8
24,WS,24,8
57,WS,57,8
87,WS,87,9
14,WS,14,8
25,WS,25,9
26,WS,26,11
49,WS,49,12
34,WS,34,14
19,WS,19,8
25,WS,25,9
12,EV,,
15,EV,,
15,EV,,
16,EV,,
22,EV,,
8,EV,,
13,EV,,
7,EV,,
10,EV,,
11,EV,,
16,EV,,
12,EV,,
11,EV,,
8,EV,,
8,EV,,
8,EV,,
8,EV,,
9,EV,,
8,EV,,
9,EV,,
11,EV,,
12,EV,,
14,EV,,
8,EV,,
9,EV,,
