,Preschool,No Preschool,,,Preschool,Grad HS
Grad HS,37,29,,,Yes,No
Not HS Grad,20,35,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,No
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,Yes,Yes
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,No
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
,,,,,No,Yes
