Math,SocSci,English,,Major,StudyHrs
15,10,14,,Math,15
20,12,12,,Math,20
14,8,12,,Math,14
15,7,10,,Math,15
14,7,10,,Math,14
10,10,10,,Math,10
12,6,8,,Math,12
9,8,8,,Math,9
10,5,5,,Math,10
11,4,7,,Math,11
9,4,6,,Math,9
8,4,4,,Math,8
8,8,6,,Math,8
10,3,5,,Math,10
8,5,5,,Math,8
7,7,4,,Math,7
7,6,8,,Math,7
5,3,9,,Math,5
5,3,10,,Math,5
5,3,4,,Math,5
15,2,3,,Math,15
6,2,3,,Math,6
5,1,3,,Math,5
3,5,6,,Math,3
5,4,4,,Math,5
,,,,SocSci,10
,,,,SocSci,12
,,,,SocSci,8
,,,,SocSci,7
,,,,SocSci,7
,,,,SocSci,10
,,,,SocSci,6
,,,,SocSci,8
,,,,SocSci,5
,,,,SocSci,4
,,,,SocSci,4
,,,,SocSci,4
,,,,SocSci,8
,,,,SocSci,3
,,,,SocSci,5
,,,,SocSci,7
,,,,SocSci,6
,,,,SocSci,3
,,,,SocSci,3
,,,,SocSci,3
,,,,SocSci,2
,,,,SocSci,2
,,,,SocSci,1
,,,,SocSci,5
,,,,SocSci,4
,,,,English,14
,,,,English,12
,,,,English,12
,,,,English,10
,,,,English,10
,,,,English,10
,,,,English,8
,,,,English,8
,,,,English,5
,,,,English,7
,,,,English,6
,,,,English,4
,,,,English,6
,,,,English,5
,,,,English,5
,,,,English,4
,,,,English,8
,,,,English,9
,,,,English,10
,,,,English,4
,,,,English,3
,,,,English,3
,,,,English,3
,,,,English,6
,,,,English,4
