15 to 24,25 to 34,35 to 44,45 to 54
525,780,360,450
240,300,510,480
510,360,450,360
660,420,540,480
480,600,415,390
480,570,360,480
630,540,1195,495
510,390,285,510
540,420,240,360
420,270,270,420
480,480,510,465
435,600,435,420
540,390,330,420
480,600,600,480
600,1215,405,510
420,540,465,390
240,440,480,300
540,255,450,390
420,465,465,450
389,525,370,240
510,450,495,465
570,435,420,570
780,510,600,510
480,510,480,555
510,480,360,390
450,540,480,600
300,540,420,270
420,480,510,360
540,690,540,390
525,420,445,344
