Diameter (cm),Height (m),Volume (m3)
21.1,2.13,0.29
21.8,1.98,0.29
22.4,1.92,0.29
26.7,2.19,0.46
27.1,2.47,0.53
27.4,2.53,0.56
27.9,2.01,0.44
27.9,2.29,0.52
28.2,2.44,0.64
28.4,2.29,0.56
28.7,2.41,0.69
29,2.32,0.59
29,2.32,0.61
29.7,2.1,0.6
30.5,2.29,0.54
32.8,2.26,0.63
32.8,2.59,0.96
33.8,2.62,0.78
34.8,2.16,0.73
35.1,1.95,0.71
35.6,2.38,0.98
36.1,2.44,0.9
36.8,2.26,1.03
40.6,2.19,1.08
41.4,2.35,1.21
43.9,2.47,1.57
44.5,2.5,1.58
45.5,2.44,1.65
45.7,2.44,1.46
45.7,2.44,1.44
52.3,2.65,2.18
