Release,Movie,Dist,budgetMil,GrossMil
19-12-1997,Titanic ,20th Century Fox,200,2185.672302
17-12-2003,The Lord of the Rings: The Return of the King ,New Line,94,"1,141"
11-06-1993,Jurassic Park ,Universal,63,"1,035"
29-06-2011,Transformers: Dark of the Moon,Paramount/DreamWorks,195,"1,124"
04-05-2012,Marvel's The Avengers,Buena Vista,225,"1,514"
20-07-2012,The Dark Knight Rises,Warner Bros.,275,"1,079"
07-07-2006,Pirates of the Caribbean: Dead Man's Chest ,Buena Vista,225,"1,061"
03-05-2013,Iron Man 3,Buena Vista,200,"1,212"
15-07-2011,Harry Potter and the Deadly Hollows Part 2 ,Warner Bros.,125,"1,328"
18-06-2010,Toy Story 3,Buena Vista,200,"1,064"
18-12-2009,Avatar,20th Century Fox,425,"2,784"
08-11-2012,Skyfall,Sony Pictures,200,"1,109"
20-05-2011,Pirates of the Caribbean: On Stranger Tides,Buena Vista,250,"1,044"
05-03-2010,Alice in Wonderland,Buena Vista,200,"1,024"
14-12-2012,The Hobbit: An Unexpected Journey,Warner Bros.,250,"1,015"
